,index,Pearson correlation,Gene,Slide,Method
277,SLFN5,0.1038482847928545,SLFN5,block1,Hist2ST
278,AP2B1,0.190448828944602,AP2B1,block1,Hist2ST
279,ZNHIT3,0.2341697928027838,ZNHIT3,block1,Hist2ST
280,MYO19,0.1728518434629092,MYO19,block1,Hist2ST
281,GGNBP2,0.1681089920599024,GGNBP2,block1,Hist2ST
282,ACACA,0.194011944745086,ACACA,block1,Hist2ST
283,DDX52,0.157434778171971,DDX52,block1,Hist2ST
284,SOCS7,0.1422799529604858,SOCS7,block1,Hist2ST
285,SRCIN1,0.1120224721192986,SRCIN1,block1,Hist2ST
286,MLLT6,0.2032497307305316,MLLT6,block1,Hist2ST
287,PCGF2,0.1852020026928087,PCGF2,block1,Hist2ST
288,PIP4K2B,0.1712131842149725,PIP4K2B,block1,Hist2ST
289,CWC25,0.1041297170528033,CWC25,block1,Hist2ST
290,LASP1,0.1448657470636591,LASP1,block1,Hist2ST
291,LINC00672,0.07021015869235,LINC00672,block1,Hist2ST
292,MED1,0.1437387918024889,MED1,block1,Hist2ST
293,PPP1R1B,0.1096018177115452,PPP1R1B,block1,Hist2ST
294,PNMT,0.0075315967839252,PNMT,block1,Hist2ST
295,CASC3,0.2102629371593674,CASC3,block1,Hist2ST
296,CDC6,0.1734342821671498,CDC6,block1,Hist2ST
297,RARA,0.1673159695173912,RARA,block1,Hist2ST
298,TOP2A,0.1929564027762773,TOP2A,block1,Hist2ST
299,CCR7,0.082460449262455,CCR7,block1,Hist2ST
300,KRT15,0.0276056399053438,KRT15,block1,Hist2ST
301,HSD17B1,0.0174113876116368,HSD17B1,block1,Hist2ST
302,CNTD1,0.0942915616178823,CNTD1,block1,Hist2ST
303,BECN1,0.1996533963021478,BECN1,block1,Hist2ST
304,PSME3,0.1746257227573568,PSME3,block1,Hist2ST
305,HOXB2,0.0934034207254517,HOXB2,block1,Hist2ST
306,HOXB7,0.0074540824599569,HOXB7,block1,Hist2ST
307,UBE2Z,0.1853172964968605,UBE2Z,block1,Hist2ST
308,ZNF652,0.1512611712567091,ZNF652,block1,Hist2ST
309,SPOP,0.1886943908371977,SPOP,block1,Hist2ST
310,SLC35B1,0.214052054289307,SLC35B1,block1,Hist2ST
311,FAM117A,0.100390068992297,FAM117A,block1,Hist2ST
312,PDK2,0.1144779859047982,PDK2,block1,Hist2ST
313,EME1,0.0928745746944412,EME1,block1,Hist2ST
314,TOB1,0.1814238511906307,TOB1,block1,Hist2ST
315,TOM1L1,0.1769151461578329,TOM1L1,block1,Hist2ST
316,CUEDC1,0.1971079095002484,CUEDC1,block1,Hist2ST
317,VEZF1,0.1915152419647143,VEZF1,block1,Hist2ST
318,RAD51C,0.1668199780008188,RAD51C,block1,Hist2ST
319,CLTC,0.1229493000899566,CLTC,block1,Hist2ST
320,PTRH2,0.184124644207192,PTRH2,block1,Hist2ST
321,DCAF7,0.1924260195716783,DCAF7,block1,Hist2ST
322,CCDC47,0.2145688743396502,CCDC47,block1,Hist2ST
323,DDX42,0.1932444179315716,DDX42,block1,Hist2ST
324,DDX5,0.1124794409124743,DDX5,block1,Hist2ST
325,CEP95,0.1447861666982616,CEP95,block1,Hist2ST
326,SMURF2,0.0593491543496359,SMURF2,block1,Hist2ST
327,CACNG4,0.0916519865717289,CACNG4,block1,Hist2ST
328,HELZ,0.1780936287454385,HELZ,block1,Hist2ST
329,PSMD12,0.2041359414616921,PSMD12,block1,Hist2ST
330,NOL11,0.2129234928371366,NOL11,block1,Hist2ST
331,KPNA2,0.2008489453941334,KPNA2,block1,Hist2ST
332,AMZ2,0.1805385915760937,AMZ2,block1,Hist2ST
333,ARSG,0.1345946239252839,ARSG,block1,Hist2ST
334,WIPI1,0.1981392278440012,WIPI1,block1,Hist2ST
335,SOX9,0.1056222828217458,SOX9,block1,Hist2ST
336,SLC16A5,0.0599342847607158,SLC16A5,block1,Hist2ST
337,QRICH2,0.0982204001466272,QRICH2,block1,Hist2ST
338,CANT1,0.1615069873733747,CANT1,block1,Hist2ST
339,SECTM1,0.1354805720140081,SECTM1,block1,Hist2ST
340,WDR45B,0.2361601882052306,WDR45B,block1,Hist2ST
341,RAB31,0.1280624902575614,RAB31,block1,Hist2ST
342,RAB27B,0.1668435553958994,RAB27B,block1,Hist2ST
343,TXNL1,0.1921061929491385,TXNL1,block1,Hist2ST
344,SHC2,0.1116835907430993,SHC2,block1,Hist2ST
345,AMH,0.0789975167495705,AMH,block1,Hist2ST
346,JSRP1,0.061675801016732,JSRP1,block1,Hist2ST
347,TLE2,0.1396785334445628,TLE2,block1,Hist2ST
348,CAPS,0.2155009449652176,CAPS,block1,Hist2ST
349,ANGPTL4,-0.075466665515637,ANGPTL4,block1,Hist2ST
350,DNMT1,0.1776027141638972,DNMT1,block1,Hist2ST
351,LDLR,0.1421863131860829,LDLR,block1,Hist2ST
352,CILP2,0.0319289929198111,CILP2,block1,Hist2ST
353,POP4,0.2320269279289232,POP4,block1,Hist2ST
354,CCNE1,0.063244842150659,CCNE1,block1,Hist2ST
355,PDCD5,0.2094459979951286,PDCD5,block1,Hist2ST
356,FXYD3,0.0667215775166635,FXYD3,block1,Hist2ST
357,SYNE4,0.171213159171759,SYNE4,block1,Hist2ST
358,ZNF146,0.2363391215079943,ZNF146,block1,Hist2ST
359,SIPA1L3,0.2038512110930115,SIPA1L3,block1,Hist2ST
360,MAP4K1,0.1181498700714508,MAP4K1,block1,Hist2ST
361,GMFG,0.1107311265362006,GMFG,block1,Hist2ST
362,ZFP36,0.1132386553083813,ZFP36,block1,Hist2ST
363,LYPD3,0.1210010958397413,LYPD3,block1,Hist2ST
364,BCAM,0.1294089593041271,BCAM,block1,Hist2ST
365,FOSB,0.0226546635081767,FOSB,block1,Hist2ST
366,BCL2L12,0.1208376992221241,BCL2L12,block1,Hist2ST
367,ZNF480,0.137341082575133,ZNF480,block1,Hist2ST
368,SH3YL1,0.1762560711667137,SH3YL1,block1,Hist2ST
369,RSAD2,0.0190989445236268,RSAD2,block1,Hist2ST
370,ID2,0.1244263923618049,ID2,block1,Hist2ST
371,ASAP2,0.1212814087441091,ASAP2,block1,Hist2ST
