,Pearson correlation,Gene,Slide,Method
WDR45B,0.21112959458563182,WDR45B,block2,Hist2ST
RAB31,0.08818637226325513,RAB31,block2,Hist2ST
RAB27B,0.18077573830877877,RAB27B,block2,Hist2ST
TXNL1,0.25115544573142917,TXNL1,block2,Hist2ST
SHC2,0.13865026164840336,SHC2,block2,Hist2ST
AMH,0.0759281618260089,AMH,block2,Hist2ST
JSRP1,0.040062487353085714,JSRP1,block2,Hist2ST
TLE2,0.1794331151754242,TLE2,block2,Hist2ST
CAPS,0.18699719361043443,CAPS,block2,Hist2ST
ANGPTL4,-0.049752777168840044,ANGPTL4,block2,Hist2ST
DNMT1,0.16593792276437425,DNMT1,block2,Hist2ST
LDLR,0.15533160858058342,LDLR,block2,Hist2ST
CILP2,-0.020269928994452215,CILP2,block2,Hist2ST
POP4,0.25990725406347037,POP4,block2,Hist2ST
CCNE1,0.09052494932374493,CCNE1,block2,Hist2ST
PDCD5,0.3050440103375188,PDCD5,block2,Hist2ST
FXYD3,0.14497091672971119,FXYD3,block2,Hist2ST
SYNE4,0.1587774286070803,SYNE4,block2,Hist2ST
ZNF146,0.23320098257404623,ZNF146,block2,Hist2ST
SIPA1L3,0.23730012339316434,SIPA1L3,block2,Hist2ST
MAP4K1,0.10419223638500527,MAP4K1,block2,Hist2ST
GMFG,0.145234580879313,GMFG,block2,Hist2ST
ZFP36,0.13572425428398008,ZFP36,block2,Hist2ST
LYPD3,0.08484118452549794,LYPD3,block2,Hist2ST
BCAM,0.10995748001067646,BCAM,block2,Hist2ST
FOSB,0.014550861924805664,FOSB,block2,Hist2ST
BCL2L12,0.1300511126338245,BCL2L12,block2,Hist2ST
ZNF480,0.14884956458505763,ZNF480,block2,Hist2ST
SH3YL1,0.19416126310082832,SH3YL1,block2,Hist2ST
RSAD2,0.08641276579454468,RSAD2,block2,Hist2ST
ID2,0.1888546976492356,ID2,block2,Hist2ST
ASAP2,0.17090534602438062,ASAP2,block2,Hist2ST
YWHAQ,0.17465846984756678,YWHAQ,block2,Hist2ST
RRM2,0.2716510264972331,RRM2,block2,Hist2ST
ODC1,0.1513458914173728,ODC1,block2,Hist2ST
TRIB2,0.2953750134423468,TRIB2,block2,Hist2ST
DDX1,0.18207920402896088,DDX1,block2,Hist2ST
SMC6,0.138116122024713,SMC6,block2,Hist2ST
EIF2AK2,0.16753524996145183,EIF2AK2,block2,Hist2ST
CEBPZ,0.10144240614285607,CEBPZ,block2,Hist2ST
HNRNPLL,0.18756144079044032,HNRNPLL,block2,Hist2ST
SRSF7,0.2638253481821977,SRSF7,block2,Hist2ST
PKDCC,0.02650192707505372,PKDCC,block2,Hist2ST
EPAS1,0.03647017155348577,EPAS1,block2,Hist2ST
EPCAM,0.2146624293546845,EPCAM,block2,Hist2ST
MSH2,0.17921876785471427,MSH2,block2,Hist2ST
MTIF2,0.1368062143874713,MTIF2,block2,Hist2ST
COMMD1,0.21996137317666353,COMMD1,block2,Hist2ST
VPS54,0.1544601676435313,VPS54,block2,Hist2ST
ANTXR1,0.07561731195351198,ANTXR1,block2,Hist2ST
SNRPG,0.2565880145853731,SNRPG,block2,Hist2ST
MPHOSPH10,0.14010690735520143,MPHOSPH10,block2,Hist2ST
ZNF638,0.19348905322573462,ZNF638,block2,Hist2ST
BOLA3,0.24014008292602038,BOLA3,block2,Hist2ST
COA5,0.25257727756390486,COA5,block2,Hist2ST
UNC50,0.15895982711229284,UNC50,block2,Hist2ST
MGAT4A,0.11757100968709971,MGAT4A,block2,Hist2ST
EIF5B,0.09756007091878953,EIF5B,block2,Hist2ST
REV1,0.1075046174692742,REV1,block2,Hist2ST
FHL2,0.16634166326252614,FHL2,block2,Hist2ST
GCC2,0.09340602352802406,GCC2,block2,Hist2ST
