,Pearson correlation,Gene,Slide,Method
CACNG4,0.03483568560058606,CACNG4,1142243F,HisToGene
HELZ,0.020148582801531957,HELZ,1142243F,HisToGene
PSMD12,0.03599770293536674,PSMD12,1142243F,HisToGene
NOL11,0.08315158656330789,NOL11,1142243F,HisToGene
KPNA2,0.049827439178255946,KPNA2,1142243F,HisToGene
AMZ2,0.054996110318981675,AMZ2,1142243F,HisToGene
ARSG,0.011703817401978053,ARSG,1142243F,HisToGene
WIPI1,0.03146959187786904,WIPI1,1142243F,HisToGene
SOX9,0.06122001510639724,SOX9,1142243F,HisToGene
SLC16A5,0.006680481635478127,SLC16A5,1142243F,HisToGene
QRICH2,0.05898013536641696,QRICH2,1142243F,HisToGene
CANT1,0.03731332369423549,CANT1,1142243F,HisToGene
SECTM1,0.05968891857967251,SECTM1,1142243F,HisToGene
WDR45B,0.03511297552349444,WDR45B,1142243F,HisToGene
RAB31,0.05192886193287204,RAB31,1142243F,HisToGene
RAB27B,0.018094604364293457,RAB27B,1142243F,HisToGene
TXNL1,0.023541413899049783,TXNL1,1142243F,HisToGene
SHC2,0.005907221336085038,SHC2,1142243F,HisToGene
AMH,0.03788534531591497,AMH,1142243F,HisToGene
JSRP1,0.026328382048671953,JSRP1,1142243F,HisToGene
TLE2,0.03961115707508665,TLE2,1142243F,HisToGene
CAPS,0.05122648588228995,CAPS,1142243F,HisToGene
ANGPTL4,0.07564213015291865,ANGPTL4,1142243F,HisToGene
DNMT1,0.0752853367760143,DNMT1,1142243F,HisToGene
LDLR,0.02428162486479241,LDLR,1142243F,HisToGene
CILP2,0.02148178036160476,CILP2,1142243F,HisToGene
POP4,0.047678634026628475,POP4,1142243F,HisToGene
CCNE1,-0.012342916390504128,CCNE1,1142243F,HisToGene
PDCD5,0.055930103139599785,PDCD5,1142243F,HisToGene
FXYD3,0.04214433372566988,FXYD3,1142243F,HisToGene
SYNE4,0.027151307072769845,SYNE4,1142243F,HisToGene
ZNF146,0.08670233741904253,ZNF146,1142243F,HisToGene
SIPA1L3,0.06472206379739633,SIPA1L3,1142243F,HisToGene
MAP4K1,0.01718847952946831,MAP4K1,1142243F,HisToGene
GMFG,0.07786331993087478,GMFG,1142243F,HisToGene
ZFP36,0.015067304120004937,ZFP36,1142243F,HisToGene
LYPD3,0.052902760115755496,LYPD3,1142243F,HisToGene
BCAM,-0.007088548860502791,BCAM,1142243F,HisToGene
FOSB,0.01963168296782936,FOSB,1142243F,HisToGene
BCL2L12,0.0431508215288227,BCL2L12,1142243F,HisToGene
ZNF480,0.04545824635311258,ZNF480,1142243F,HisToGene
SH3YL1,0.054770728450519404,SH3YL1,1142243F,HisToGene
RSAD2,0.054197287948286405,RSAD2,1142243F,HisToGene
ID2,0.054884090624635194,ID2,1142243F,HisToGene
ASAP2,0.023329812171455605,ASAP2,1142243F,HisToGene
YWHAQ,0.057498894410834084,YWHAQ,1142243F,HisToGene
RRM2,0.05274763510699251,RRM2,1142243F,HisToGene
ODC1,0.02288016606819257,ODC1,1142243F,HisToGene
TRIB2,0.03778934992382223,TRIB2,1142243F,HisToGene
DDX1,0.01832776841577047,DDX1,1142243F,HisToGene
SMC6,0.023037800861344947,SMC6,1142243F,HisToGene
EIF2AK2,0.034644793649539256,EIF2AK2,1142243F,HisToGene
CEBPZ,0.08109668446754764,CEBPZ,1142243F,HisToGene
HNRNPLL,0.06973602905610107,HNRNPLL,1142243F,HisToGene
SRSF7,0.0672905162303259,SRSF7,1142243F,HisToGene
PKDCC,-0.005360952463308933,PKDCC,1142243F,HisToGene
EPAS1,0.06659501675899623,EPAS1,1142243F,HisToGene
EPCAM,0.026014555960479413,EPCAM,1142243F,HisToGene
MSH2,0.05343701062459827,MSH2,1142243F,HisToGene
MTIF2,0.014724663944942894,MTIF2,1142243F,HisToGene
COMMD1,0.06188401586711867,COMMD1,1142243F,HisToGene
VPS54,0.0766100191851916,VPS54,1142243F,HisToGene
ANTXR1,0.015220569468160052,ANTXR1,1142243F,HisToGene
SNRPG,0.11550230868444072,SNRPG,1142243F,HisToGene
MPHOSPH10,0.04867368451560773,MPHOSPH10,1142243F,HisToGene
ZNF638,0.05404498771857772,ZNF638,1142243F,HisToGene
BOLA3,0.05024271279416043,BOLA3,1142243F,HisToGene
COA5,0.047431340744947474,COA5,1142243F,HisToGene
UNC50,0.06681197778428878,UNC50,1142243F,HisToGene
MGAT4A,0.04753323250358291,MGAT4A,1142243F,HisToGene
EIF5B,0.047452262282755446,EIF5B,1142243F,HisToGene
REV1,0.07564796558761852,REV1,1142243F,HisToGene
FHL2,0.014186184604688562,FHL2,1142243F,HisToGene
GCC2,0.055214291628655335,GCC2,1142243F,HisToGene
LIMS1,0.09951798646237683,LIMS1,1142243F,HisToGene
RANBP2,0.06451709281565922,RANBP2,1142243F,HisToGene
SOWAHC,0.051369415914956765,SOWAHC,1142243F,HisToGene
IL1RN,0.06563578214245953,IL1RN,1142243F,HisToGene
NIFK,0.07389909916587423,NIFK,1142243F,HisToGene
